spell,volume,volume_perc
youtube,47064296000,22.5%
facebook,11740936000,5.6%
amazon,10165630000,4.9%
google,8396982000,4.0%
weather,3056470000,1.5%
translate,2123686000,1.0%
com,1994959000,1.0%
instagram,1808427000,0.9%
walmart,1786768000,0.9%
ebay,1604100000,0.8%
yahoo,1459518000,0.7%
youtubecom,1110000000,0.5%
you,974786000,0.5%
netflix,941223000,0.5%
news,930556000,0.4%
craigslist,817201000,0.4%
mail,670846000,0.3%
roblox,577456000,0.3%
gmail,562618000,0.3%
trump,494680000,0.2%
twitter,478173000,0.2%
map,476530000,0.2%
fox,422573000,0.2%
target,419991000,0.2%
123movies,417180000,0.2%
coronavirus,410584000,0.2%
nfl,396626000,0.2%
the youtube,370000000,0.2%
maps,364868000,0.2%
pinterest,329040000,0.2%
calculator,324199000,0.2%
ups,316780000,0.2%
espn,315400000,0.2%
classroom,301040000,0.1%
hotmail,300800000,0.1%
macy's,299568000,0.1%
bitcoin,297970000,0.1%
linkedin,292480000,0.1%
nba,256442000,0.1%
msn,246880000,0.1%
usps,241628000,0.1%
food,237679000,0.1%
near,230909000,0.1%
tiktok,223986000,0.1%
login,219301000,0.1%
covid,213328000,0.1%
fox news,203250000,0.1%
tv,202898000,0.1%
games,198118000,0.1%
on,187041000,0.1%
-bilibili facebook,185000000,0.1%
#you tube,185000000,0.1%
афсуищщл,185000000,0.1%
нщг егиу,185000000,0.1%
нщггиу,185000000,0.1%
нщгегиу,185000000,0.1%
нщгегиув,185000000,0.1%
уоutube,185000000,0.1%
=] youtube,185000000,0.1%
ace-book,185000000,0.1%
acerook,185000000,0.1%
are - youtube,185000000,0.1%
are youtube,185000000,0.1%
book face,185000000,0.1%
book the face,185000000,0.1%
e youtube,185000000,0.1%
e! youtube,185000000,0.1%
ei tube,185000000,0.1%
eyout,185000000,0.1%
fa_books,185000000,0.1%
facbuk,185000000,0.1%
face boôk,185000000,0.1%
facebookű,185000000,0.1%
facebouk,185000000,0.1%
facefacbook,185000000,0.1%
facepad,185000000,0.1%
fai book,185000000,0.1%
fakebppk,185000000,0.1%
faubook,185000000,0.1%
fb into,185000000,0.1%
fbook,185000000,0.1%
fcebooke,185000000,0.1%
fecbock,185000000,0.1%
fecbok,185000000,0.1%
fecbokk,185000000,0.1%
fecbuk,185000000,0.1%
feccbuk,185000000,0.1%
fecebbok,185000000,0.1%
fecebock,185000000,0.1%
fecebok,185000000,0.1%
fecebooke,185000000,0.1%
fecebuk,185000000,0.1%
fecebuuk,185000000,0.1%
fecoobok,185000000,0.1%
feecbok,185000000,0.1%
feecebok,185000000,0.1%
feizbuc,185000000,0.1%
ficbook,185000000,0.1%
hutb,185000000,0.1%
itube,185000000,0.1%
iyou tube,185000000,0.1%
ìyou tube,185000000,0.1%
jtube,185000000,0.1%
jutu,185000000,0.1%
jutube,185000000,0.1%
moyoutube,185000000,0.1%
oiyoutube,185000000,0.1%
on you tube,185000000,0.1%
the facebook,185000000,0.1%
the only youtube,185000000,0.1%
tiki book,185000000,0.1%
tourube,185000000,0.1%
tube,185000000,0.1%
tube - youtube,185000000,0.1%
tube on youtube,185000000,0.1%
tube you,185000000,0.1%
tube youtube,185000000,0.1%
tubeyou,185000000,0.1%
u toab,185000000,0.1%
ube youtube,185000000,0.1%
utyb,185000000,0.1%
wwfecebook,185000000,0.1%
y tube,185000000,0.1%
ybe,185000000,0.1%
yhoutube,185000000,0.1%
yoté,185000000,0.1%
yotop,185000000,0.1%
you -ありがとう,185000000,0.1%
you bu,185000000,0.1%
you t,185000000,0.1%
you tbeo,185000000,0.1%
you to by,185000000,0.1%
you topu,185000000,0.1%
you tube,185000000,0.1%
you tube 's,185000000,0.1%
you tube s,185000000,0.1%
you web,185000000,0.1%
youè tube,185000000,0.1%
youetube,185000000,0.1%
youitube3,185000000,0.1%
your tub,185000000,0.1%
your tube,185000000,0.1%
yourtube,185000000,0.1%
yout,185000000,0.1%
yout uh be,185000000,0.1%
youtbew,185000000,0.1%
youtip,185000000,0.1%
youtnp,185000000,0.1%
youto,185000000,0.1%
youtoy,185000000,0.1%
youtub,185000000,0.1%
youtubث,185000000,0.1%
youtube 's,185000000,0.1%
youtube /;',185000000,0.1%
youtube :- com,185000000,0.1%
youtube cvolm,185000000,0.1%
youtube e,185000000,0.1%
