keyword,min,max
holiday season,1600,37200000
holidays season,2900,37200000
joseph antoine ferdinand plateau,10,20400000
iowa caucus results,110,16600000
barbara hepworth,1900,16600000
roberto gomez bolaños,4400,16600000
the edmonton grads,0,13600000
jacob blake,70,13600000
pacita abad,170,13600000
junko tabei,720,13600000
camille claudel,3600,13600000
ignacio anaya garcía,390,11100000
ynés mexía,720,11100000
the seasons winter,2900,11100000
seasons: winter,4400,11100000
in winter season,6600,11100000
super tuesday results,20,9140000
happy holiday 2019,90,7480000
happy holidays 2019!,140,7480000
super bowl score,3600,7480000
