median_volume,median_cpc,id,cat1
30,0.166667,10021,Apparel
20,0,10013,Arts & Entertainment
20,0,10005,Beauty & Personal Care
20,0,10004,Business & Industrial
20,0,10019,Computers & Consumer Electronics
30,0,10020,Dining & Nightlife
20,0,10002,Family & Community
20,0,10012,Finance
30,0,10010,Food & Groceries
20,0,10011,Health
20,0,10015,Hobbies & Leisure
20,0.181979,10009,Home & Garden
20,0,10007,Internet & Telecom
20,0,10016,Jobs & Education
20,0,10018,Law & Government
20,0,10108,"News, Media & Publications"
30,0,10006,Occasions & Gifts
30,0,10003,Real Estate
30,0,13575,Retailers & General Merchandise
20,0,10014,Sports & Fitness
20,0,10017,Travel & Tourism
20,0,10001,Vehicles
