volume,id,cat1
7592391350,10021,Apparel
48705067759.99999,10013,Arts & Entertainment
5702448360,10005,Beauty & Personal Care
27306062120,10004,Business & Industrial
22078330710,10019,Computers & Consumer Electronics
5488502210,10020,Dining & Nightlife
10496315610,10002,Family & Community
6393495649.999999,10012,Finance
7370092720,10010,Food & Groceries
8160223270.000001,10011,Health
20143134620,10015,Hobbies & Leisure
9601426060,10009,Home & Garden
42346125560,10007,Internet & Telecom
9098968400,10016,Jobs & Education
5234216260,10018,Law & Government
58641260400,10108,"News, Media & Publications"
3184827010,10006,Occasions & Gifts
4134238390,10003,Real Estate
9088979720,13575,Retailers & General Merchandise
9667951340,10014,Sports & Fitness
10632213930,10017,Travel & Tourism
5969782400,10001,Vehicles
