volume,count,length
28586020,3316,1
84439920,38877,2
2213221700,150276,3
10914238220,677747,4
21568846490.000004,1249603,5
29957454419.999996,2014541,6
35954132710,2776474,7
36461504980,3647707,8
27987855720,4755500,9
17613022250,6139332,10
13890495419.999998,7682126,11
11902335430,9405799,12
11312503240,11242473,13
10170449420,13264479,14
8932480210,15373858,15
8861129490,17625905,16
7368736400,19858241,17
6683790800,21913257,18
6051917210,23648638,19
5144507130,25067285,20
4625679680,26008942,21
3914852710,26499484,22
3290917959.9999995,26583430,23
2907528090,26274272,24
2465232760,25587689,25
2085493760,24670166,26
1754866930,23503434,27
1508753310,22173468,28
1267552690,20730890,29
1061048320,19150806,30
853598959.9999999,17521133,31
691084890,15921514,32
558597800,14355404,33
438272380,12860980,34
387571100,11450682,35
285314300,10134116,36
241033500,8934609,37
199576830,7832201,38
155214040,6841694,39
125995730,5941869,40
102356440,5142879,41
83872920,4449716,42
69256580,3838250,43
63744380,3318679,44
46977720,2869310,45
39009470,2471067,46
32680350,2138279,47
27552869.999999996,1849637,48
22514950,1604212,49
19124280,1398638,50
