volume,count,length
2858.602,3316,1
8407.095,38873,2
138218.092,149925,3
372282.798,667546,4
639964.438,1216983,5
811499.17,1955565,6
1040144.559,2691952,7
1160060.373,3538563,8
1103557.188,4618876,9
834379.655,5978930,10
856102.896,7505571,11
792273.185,9216857,12
764916.816,11044336,13
794579.745,13058493,14
686398.19,15165254,15
729880.602,17413288,16
620121.043,19646959,17
599426.81,21705321,18
539981.217,23447579,19
462334.144,24874943,20
416492.184,25826293,21
368977.56,26330013,22
314336.426,26424636,23
278491.885,26128529,24
237905.994,25455105,25
202300.981,24550065,26
169153.609,23396435,27
146865.765,22077180,28
122344.234,20645055,29
102590.687,19075524,30
83335.762,17454985,31
67370.336,15864169,32
54947.348,14305012,33
43175.052,12817433,34
38234.227,11413382,35
28157.08,10101883,36
23816.599,8907089,37
19726.16,7808257,38
15355.017,6821226,39
12463.88,5924242,40
10097.815,5127963,41
8312.146,4436926,42
6859.141,3827148,43
5703.862,3309227,44
4655.558,2861329,45
3864.922,2463980,46
3233.975,2132176,47
2730.769,1844349,48
2234.713,1599815,49
1897.28,1394566,50
