v1,v2,n
Adwords bottom,Adwords top,7
Adwords bottom,Featured snippet,3
Adwords bottom,Image pack,21
Adwords bottom,Knowledge card,1
Adwords bottom,People also ask,22
Adwords bottom,Shopping results,4
Adwords bottom,Sitelinks,5
Adwords bottom,Thumbnails,18
Adwords bottom,Top stories,19
Adwords top,Featured snippet,2
Adwords top,Image pack,15
Adwords top,People also ask,19
Adwords top,Shopping results,4
Adwords top,Sitelinks,13
Adwords top,Thumbnails,15
Adwords top,Top stories,8
Adwords top,Tweet box,1
Featured snippet,Image pack,24
Featured snippet,People also ask,63
Featured snippet,Sitelinks,12
Featured snippet,Thumbnails,78
Featured snippet,Top stories,37
Image pack,Knowledge card,16
Image pack,People also ask,136
Image pack,Shopping results,23
Image pack,Sitelinks,95
Image pack,Thumbnails,172
Image pack,Top stories,134
Image pack,Tweet box,6
Knowledge card,People also ask,18
Knowledge card,Sitelinks,6
Knowledge card,Thumbnails,10
Knowledge card,Top stories,10
People also ask,Shopping results,7
People also ask,Sitelinks,92
People also ask,Thumbnails,146
People also ask,Top stories,132
People also ask,Tweet box,8
Shopping results,Sitelinks,5
Shopping results,Thumbnails,22
Shopping results,Top stories,6
Sitelinks,Thumbnails,55
Sitelinks,Top stories,45
Sitelinks,Tweet box,4
Thumbnails,Top stories,265
Thumbnails,Tweet box,6
Top stories,Tweet box,6
