stopword,n
I,2878833
me,3969588
my,2313188
myself,34975
we,476532
our,217492
ours,3934
ourselves,3303
you,2449468
your,874364
yours,23622
yourself,107877
yourselves,539
he,154944
him,104819
his,88877
himself,11982
she,129848
her,145761
hers,6223
herself,4019
it,1277377
its,113856
itself,24147
they,102832
them,76202
their,72061
theirs,971
themselves,13155
what,10393424
which,999344
who,1825802
whom,7830
this,446456
that,546573
these,38624
those,19343
am,278253
is,7130345
are,1801381
was,326760
were,74136
be,658763
been,50464
being,154970
have,517433
has,168872
had,33542
having,43346
do,2567809
does,2304971
did,427101
doing,57597
would,73565
should,406703
could,55608
ought,1621
im,101280
youre,1631
hes,3690
shes,2729
its,113856
were,74136
theyre,82
ive,2570
youve,393
weve,108
theyve,5
id,409065
youd,37
hed,5008
theyd,0
youll,220
well,185164
theyll,0
isnt,701
arent,382
wasnt,137
werent,17
hasnt,30
havent,170
hadnt,13
doesnt,546
dont,26617
didnt,387
wont,35479
wouldnt,120
shant,619
shouldnt,45
cant,21792
cannot,64629
couldnt,87
mustnt,4
lets,34573
thats,11859
whos,13047
whats,111337
heres,1027
theres,1911
whens,572
wheres,4016
whys,677
hows,1239
a,6311545
an,661630
the,17875353
and,7104147
but,95132
if,445291
or,559489
because,54060
as,398705
until,27564
while,83597
of,9297308
at,1123737
by,1115821
for,11402811
with,2831673
about,590479
against,69702
between,256239
into,198369
through,132305
during,93625
before,217246
after,665632
above,75702
below,48758
to,11313502
from,1467011
up,1334609
down,570296
in,16088423
out,838913
on,4046479
off,725449
over,355283
under,463865
again,117922
further,12510
then,36784
once,109485
here,136798
there,251942
when,1671059
where,2697071
why,2501314
how,24688921
all,1439272
any,70379
both,22522
each,41023
few,17824
more,240577
most,706800
other,146619
some,73623
such,13447
no,1204086
nor,8305
not,810641
only,262279
own,186635
same,123588
so,243496
than,89419
too,188733
very,105045
will,596567
