code,volume
2012,NA
2032,NA
2036,10765718520
2040,NA
2050,NA
2056,NA
2068,NA
2076,NA
2100,NA
2124,16162809310.000002
2144,NA
2152,NA
2158,NA
2170,NA
2188,NA
2191,NA
2203,NA
2208,NA
2218,NA
2222,NA
2233,NA
2246,NA
2250,NA
2276,NA
2300,NA
2320,NA
2344,NA
2348,NA
2356,NA
2360,NA
2372,NA
2376,NA
2380,NA
2392,NA
2458,NA
2470,NA
2484,NA
2528,NA
2554,925500040
2558,NA
2578,NA
2600,NA
2604,NA
2616,NA
2620,NA
2642,NA
2643,NA
2682,NA
2688,NA
2702,NA
2703,NA
2704,NA
2705,NA
2710,NA
2724,NA
2752,NA
2756,NA
2764,NA
2784,NA
2788,NA
2792,NA
2804,NA
2818,NA
2826,44404444140
2840,302566999860
2858,NA
2862,NA
